StudyName,StudyId,DeviceId,SensorId,Time,Accx,Accy,Accz
will-left,0,0,0,2016-03-18 15:33:05.676,-0.2956543,-0.037841797,0.91967773
will-left,0,0,0,2016-03-18 15:33:05.681,-0.3310547,0.13549805,0.9567871
will-left,0,0,0,2016-03-18 15:33:05.682,-0.33032227,0.072021484,0.9013672
will-left,0,0,0,2016-03-18 15:33:05.698,-0.31689453,-0.06542969,0.9836426
will-left,0,0,0,2016-03-18 15:33:05.742,-0.27001953,0.043945313,1.0012207
will-left,0,0,0,2016-03-18 15:33:05.772,-0.35742188,0.005859375,0.9482422
will-left,0,0,0,2016-03-18 15:33:05.818,-0.3671875,0.06616211,0.91552734
will-left,0,0,0,2016-03-18 15:33:05.836,-0.36010742,0.111083984,0.9111328
will-left,0,0,0,2016-03-18 15:33:05.867,-0.36694336,0.15844727,0.96655273
will-left,0,0,0,2016-03-18 15:33:05.897,-0.33007813,0.16967773,0.9470215
will-left,0,0,0,2016-03-18 15:33:05.918,-0.34545898,0.13061523,0.92578125
will-left,0,0,0,2016-03-18 15:33:05.968,-0.36914063,0.23950195,0.9719238
will-left,0,0,0,2016-03-18 15:33:05.992,-0.3876953,0.21728516,0.9567871
will-left,0,0,0,2016-03-18 15:33:06.011,-0.35913086,0.2163086,0.9458008
will-left,0,0,0,2016-03-18 15:33:06.067,-0.3947754,0.17382813,0.8713379
will-left,0,0,0,2016-03-18 15:33:06.092,-0.3852539,0.22607422,0.8979492
will-left,0,0,0,2016-03-18 15:33:06.136,-0.40649414,0.19067383,0.9038086
will-left,0,0,0,2016-03-18 15:33:06.167,-0.35107422,0.23144531,0.8574219
will-left,0,0,0,2016-03-18 15:33:06.186,-0.2614746,0.28320313,0.75439453
will-left,0,0,0,2016-03-18 15:33:06.217,-0.19799805,0.21533203,0.82958984
will-left,0,0,0,2016-03-18 15:33:06.267,-0.22265625,0.09375,0.9255371
will-left,0,0,0,2016-03-18 15:33:06.292,-0.23535156,0.030273438,0.9753418
will-left,0,0,0,2016-03-18 15:33:06.317,-0.24365234,0.022705078,0.9626465
will-left,0,0,0,2016-03-18 15:33:06.342,-0.21972656,0.17626953,0.99853516
will-left,0,0,0,2016-03-18 15:33:06.393,-0.20019531,0.14672852,1.0893555
will-left,0,0,0,2016-03-18 15:33:06.417,-0.18530273,0.14868164,1.0827637
will-left,0,0,0,2016-03-18 15:33:06.442,-0.18774414,0.14501953,0.9831543
will-left,0,0,0,2016-03-18 15:33:06.491,-0.21118164,0.15551758,0.9716797
will-left,0,0,0,2016-03-18 15:33:06.517,-0.18969727,0.2783203,0.9411621
will-left,0,0,0,2016-03-18 15:33:06.542,-0.2253418,0.2944336,0.9375
will-left,0,0,0,2016-03-18 15:33:06.591,-0.20751953,0.37670898,0.9658203
will-left,0,0,0,2016-03-18 15:33:06.621,-0.26708984,0.33203125,0.98657227
will-left,0,0,0,2016-03-18 15:33:06.645,-0.19140625,0.22167969,0.9472656
will-left,0,0,0,2016-03-18 15:33:06.691,-0.17138672,0.18383789,0.9406738
will-left,0,0,0,2016-03-18 15:33:06.708,-0.13330078,0.30688477,1.0070801
will-left,0,0,0,2016-03-18 15:33:06.748,-0.09033203,0.14916992,0.967041
will-left,0,0,0,2016-03-18 15:33:06.796,-0.07128906,0.16186523,0.9880371
will-left,0,0,0,2016-03-18 15:33:06.817,-0.061035156,0.08496094,0.9995117
will-left,0,0,0,2016-03-18 15:33:06.843,-0.103271484,0.2109375,0.9692383
